X Y
-0.005700 0.060000
0.005700 0.060000
0.005772 0.059991
0.005839 0.059966
0.005898 0.059925
0.006052 0.059775
0.006111 0.059734
0.006178 0.059709
0.006250 0.059700
0.006322 0.059709
0.006389 0.059734
0.006448 0.059775
0.006602 0.059925
0.006661 0.059966
0.006728 0.059991
0.006800 0.060000
0.006872 0.059991
0.006939 0.059966
0.006998 0.059925
0.007152 0.059775
0.007211 0.059734
0.007278 0.059709
0.007350 0.059700
0.007422 0.059709
0.007489 0.059734
0.007548 0.059775
0.007702 0.059925
0.007761 0.059966
0.007828 0.059991
0.007900 0.060000
0.007972 0.059991
0.008039 0.059966
0.008098 0.059925
0.008252 0.059775
0.008311 0.059734
0.008378 0.059709
0.008450 0.059700
0.008522 0.059709
0.008589 0.059734
0.008648 0.059775
0.008802 0.059925
0.008861 0.059966
0.008928 0.059991
0.009000 0.060000
0.009072 0.059991
0.009139 0.059966
0.009198 0.059925
0.009352 0.059775
0.009411 0.059734
0.009478 0.059709
0.009550 0.059700
0.009622 0.059709
0.009689 0.059734
0.009748 0.059775
0.009902 0.059925
0.009961 0.059966
0.010028 0.059991
0.010100 0.060000
0.010172 0.059991
0.010239 0.059966
0.010298 0.059925
0.010452 0.059775
0.010511 0.059734
0.010578 0.059709
0.010650 0.059700
0.010722 0.059709
0.010789 0.059734
0.010848 0.059775
0.011002 0.059925
0.011061 0.059966
0.011128 0.059991
0.011200 0.060000
0.011272 0.059991
0.011339 0.059966
0.011398 0.059925
0.011552 0.059775
0.011611 0.059734
0.011678 0.059709
0.011750 0.059700
0.011822 0.059709
0.011889 0.059734
0.011948 0.059775
0.012102 0.059925
0.012161 0.059966
0.012228 0.059991
0.012300 0.060000
0.012372 0.059991
0.012439 0.059966
0.012498 0.059925
0.012652 0.059775
0.012711 0.059734
0.012778 0.059709
0.012850 0.059700
0.012922 0.059709
0.012989 0.059734
0.013048 0.059775
0.013202 0.059925
0.013261 0.059966
0.013328 0.059991
0.013400 0.060000
0.013472 0.059991
0.013539 0.059966
0.013598 0.059925
0.013752 0.059775
0.013811 0.059734
0.013878 0.059709
0.013950 0.059700
0.014022 0.059709
0.014089 0.059734
0.014148 0.059775
0.014302 0.059925
0.014361 0.059966
0.014428 0.059991
0.014500 0.060000
0.014572 0.059991
0.014639 0.059966
0.014698 0.059925
0.014852 0.059775
0.014911 0.059734
0.014978 0.059709
0.015050 0.059700
0.015122 0.059709
0.015189 0.059734
0.015248 0.059775
0.015402 0.059925
0.015458 0.059964
0.015523 0.059990
0.015591 0.060000
